customerID,gender,SeniorCitizen,Tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,InternetType,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,DSL,Yes,Electronic check,29.85,29.85,No
5575-GNVDE,Male,0,34,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Fiber optic,No,Mailed check,56.95,1889.5,No
3668-QPYBK,Male,0,2,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Fiber optic,Yes,Mailed check,53.85,108.15,Yes
7795-CFOCW,Male,0,45,No,DSL,Yes,No,Yes,Yes,No,No,One year,DSL,No,Bank transfer,42.3,1840.75,No
9237-HQITU,Female,0,2,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Fiber optic,Yes,Electronic check,70.7,151.65,Yes
9305-CDSKC,Female,0,8,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Fiber optic,No,Electronic check,99.65,820.5,Yes
1452-KVSQY,Male,0,22,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Fiber optic,Yes,Electronic check,89.1,1949.4,No
6713-OKOMC,Female,0,10,No,DSL,Yes,Yes,No,Yes,No,No,Two year,DSL,No,Credit card,65.1,593.3,No
7892-POOKP,Female,0,28,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Fiber optic,Yes,Electronic check,61.9,1772.1,Yes
6388-TABGU,Male,0,62,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,DSL,No,Bank transfer,56.15,3582.3,No
9763-GRSKD,Female,0,4,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Fiber optic,Yes,Mailed check,74.4,306.6,Yes
7469-LKBCI,Male,0,66,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Fiber optic,Yes,Bank transfer,105.65,7062.1,No
8091-TTVAX,Female,0,54,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,DSL,No,Credit card,110.78,5994.5,No
3186-AJIEK,Male,0,23,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,DSL,Yes,Electronic check,83.1,1990.5,Yes
4576-XLDSQ,Female,0,49,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Fiber optic,No,Bank transfer,105.85,5036.3,No
2345-WYAAD,Male,0,72,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,DSL,Yes,Credit card,105.65,7608.7,No
3321-CVEXP,Female,0,11,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Fiber optic,Yes,Electronic check,65.6,738.4,Yes
8234-QMVJB,Male,0,71,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Fiber optic,No,Credit card,110.7,7820.9,No
1988-PWLJG,Female,0,5,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,DSL,Yes,Mailed check,48.2,225.55,Yes
7663-BKHKT,Male,0,37,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,DSL,No,Bank transfer,92.15,3418.95,No
2409-KSWQE,Female,0,17,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Fiber optic,Yes,Electronic check,80.85,1397.45,Yes
3668-ZRJLK,Male,0,28,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,DSL,No,Electronic check,89.4,2496.5,No
5950-MFYOV,Female,0,52,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Fiber optic,No,Credit card,105.5,5540.7,No
6752-GRBNW,Male,0,9,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Fiber optic,Yes,Electronic check,65.1,604.4,Yes
1959-YQYZL,Female,0,31,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,DSL,No,Mailed check,79.85,2475.35,No
3622-KVPJQ,Male,0,19,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Fiber optic,Yes,Electronic check,73.35,1397.9,Yes
8821-ZBULG,Female,0,67,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,DSL,No,Bank transfer,110.95,7439.95,No
4970-JAVMQ,Male,0,13,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Fiber optic,Yes,Electronic check,79.15,1032.95,Yes
7732-XMHSL,Female,0,44,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,DSL,No,Credit card,98.8,4365.2,No
